"Average Prices and Volumes of Sales","","","","","","","","","",""
"By district for county - GREATER LONDON","","","","","","","","","",""
"2014","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2017-11-06","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BARKING AND DAGENHAM","322742","26","250073","197","232662","1360","155616","540","215784","2123"
"BARNET","1338068","417","685674","1139","512178","855","340694","2507","534971","4918"
"BEXLEY","445181","290","317246","1280","258063","1222","171313","1084","267346","3876"
"BRENT","922946","123","563079","484","684550","556","337778","1687","468945","2850"
"BROMLEY","722073","961","432782","1444","359265","1463","259201","2221","397461","6089"
"CAMDEN","3970213","35","2662530","83","1928331","287","744242","2322","968649","2727"
"CITY OF LONDON","0","0","0","0","1700000","1","890622","315","893184","316"
"CITY OF WESTMINSTER","3639097","13","4022850","20","3176939","311","1270505","3202","1461915","3546"
"CROYDON","569308","561","379978","1065","295587","1568","214299","2639","300544","5833"
"EALING","1262223","111","695535","541","566683","1074","344662","1652","501596","3378"
"ENFIELD","884658","188","510258","607","337590","1341","233342","1555","349931","3691"
"GREENWICH","791738","90","428397","458","382171","1261","339317","2619","369930","4428"
"HACKNEY","956875","8","997963","39","838602","385","439337","2413","502481","2845"
"HAMMERSMITH AND FULHAM","4377727","11","2156759","38","1517307","700","630477","2065","886340","2814"
"HARINGEY","2855199","44","1026375","133","654194","1017","374346","1653","543114","2847"
"HARROW","885106","307","470073","745","396410","576","283761","1082","427045","2710"
"HAVERING","482537","465","318652","1374","259021","1275","180385","1036","284178","4150"
"HILLINGDON","644454","484","375251","958","334197","1006","224320","1248","348366","3696"
"HOUNSLOW","864940","79","568312","606","481830","821","330127","1716","426694","3222"
"ISLINGTON","1648750","12","1602431","34","1252750","461","536301","2325","670439","2832"
"KENSINGTON AND CHELSEA","6584437","16","7564107","28","4177431","424","1410248","2205","1944622","2673"
"KINGSTON UPON THAMES","989283","290","567334","681","442089","601","339982","1417","475309","2989"
"LAMBETH","1114589","45","873101","206","763531","808","464994","3801","537941","4860"
"LEWISHAM","767077","79","573824","356","442219","1321","282237","2727","361078","4483"
"MERTON","2167986","114","812710","333","522509","1319","340939","1310","537582","3076"
"NEWHAM","364736","18","319096","57","295298","1306","243833","1487","269523","2868"
"REDBRIDGE","681249","155","441103","643","356816","1446","229411","1327","338731","3571"
"RICHMOND UPON THAMES","1539699","221","1013671","609","808411","1060","446279","1535","729796","3425"
"SOUTHWARK","1266144","52","1060362","142","701700","698","436237","2976","518211","3868"
"SUTTON","633373","296","406976","707","323406","952","215467","1438","322115","3393"
"TOWER HAMLETS","702016","4","573458","13","712259","303","427397","4684","445245","5004"
"WALTHAM FOREST","484314","53","441615","298","391040","1578","250396","1542","334325","3471"
"WANDSWORTH","2356998","74","1531647","206","955827","1485","512448","4170","681761","5935"
"Total","907941","5642","553392","15524","589464","30841","456555","66500","525319","118507"
